timestamp,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,quatX,quatY,quatZ,quatW
26314,0,0,0,0,0,0,9.265891,-0.1484458,-1.532344,0.875,-3.625,-1,0,0,0,0,0,0,1
26331,0,0,0,0,0,0,9.131811,0.04788574,-1.474881,10.625,-4,-3.875,0,0,0,0,0,0,1
26344,0,0,0,0,0,0,9.141388,-0.05267432,-1.484458,16.5,-4.25,-5.5,0,0,0,0,0,0,1
26356,0,0,0,0,0,0,9.189274,-0.09098291,-1.498824,14.25,-3.875,-5.25,0,0,0,0,0,0,1
26369,0,0,0,0,0,0,9.275469,-0.07182861,-1.503612,11.125,-3.5,-4.625,0,0,0,0,0,0,1
26381,0,0,0,0,0,0,9.390394,-0.009577149,-1.494035,9.125,-3,-4.375,0,0,0,0,0,0,1
26394,0,0,0,0,0,0,9.467011,0.1340801,-1.479669,8.5,-2.25,-3.125,0,0,0,0,0,0,1
26406,0,0,0,0,0,0,9.419126,0.258583,-1.503612,11.25,-2,-1.875,0,0,0,0,0,0,1
26418,0,0,0,0,0,0,9.352086,0.3256231,-1.503612,18.5,-1.625,-1.375,0,0,0,0,0,0,1
26430,0,0,0,0,0,0,9.366451,0.3112573,-1.474881,26,-0.875,-1.5,0,0,0,0,0,0,1
26443,0,0,0,0,0,0,9.399971,0.2681602,-1.474881,32.875,-0.25,-1.625,0,0,0,0,0,0,1
26456,0,0,0,0,0,0,9.380817,0.1436572,-1.551498,38,0.875,-2.125,0,0,0,0,0,0,1
26468,0,0,0,0,0,0,9.419126,0.03352002,-1.527555,38.625,2.25,-2.75,0,0,0,0,0,0,1
26481,0,0,0,0,0,0,9.452645,-0.06225147,-1.551498,34.125,3,-3,0,0,0,0,0,0,1
26493,0,0,0,0,0,0,9.37124,-0.05746289,-1.575441,28.375,3.625,-3.375,0,0,0,0,0,0,1
26504,0,0,0,0,0,0,9.270679,0.02394287,-1.532344,23.5,4,-3.5,0,0,0,0,0,0,1
26517,0,0,0,0,0,0,9.218005,0.09098291,-1.508401,21.875,3.625,-3.75,0,0,0,0,0,0,1
26530,0,0,0,0,0,0,9.232371,0.06225147,-1.489247,25.75,2.5,-5.75,0,0,0,0,0,0,1
26542,0,0,0,0,0,0,9.313777,-0.04788574,-1.436572,28.25,1.375,-7.75,0,0,0,0,0,0,1
26555,0,0,0,0,0,0,9.414337,-0.1197144,-1.407841,25.875,-0.125,-8.75,0,0,0,0,0,0,1
26567,0,0,0,0,0,0,9.409549,-0.1388687,-1.436572,20.25,-1.625,-9,0,0,0,0,0,0,1
26579,0,0,0,0,0,0,9.37124,-0.05267432,-1.364744,17.125,-2.75,-9.75,0,0,0,0,0,0,1
26591,0,0,0,0,0,0,9.366451,0.009577149,-1.326435,18,-4,-10.75,0,0,0,0,0,0,1
26603,0,0,0,0,0,0,9.376028,-0.009577149,-1.345589,20.125,-5.375,-11.75,0,0,0,0,0,0,1
26615,0,0,0,0,0,0,9.342508,-0.07182861,-1.379109,17.875,-6.125,-11.875,0,0,0,0,0,0,1
26628,0,0,0,0,0,0,9.208428,-0.02394287,-1.412629,11.375,-6.375,-10.875,0,0,0,0,0,0,1
26641,0,0,0,0,0,0,9.098291,0.1005601,-1.403052,9.25,-6.625,-10,0,0,0,0,0,0,1
26653,0,0,0,0,0,0,9.079137,0.191543,-1.383898,13.125,-6.375,-9.75,0,0,0,0,0,0,1
26666,0,0,0,0,0,0,9.10308,0.2106973,-1.383898,16.625,-6.125,-8.75,0,0,0,0,0,0,1
