timestamp,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,quatX,quatY,quatZ,quatW
13949,0,0,0,0,0,0,9.347297,-0.01436572,-0.6512461,25.625,3.125,1,0,0,0,0,0,0,1
13964,0,0,0,0,0,0,9.332932,-0.2777373,-0.4980117,27.875,3.875,-0.5,0,0,0,0,0,0,1
13980,0,0,0,0,0,0,9.318565,0.2681602,-0.7134976,28.5,4.625,-1.75,0,0,0,0,0,0,1
13993,0,0,0,0,0,0,9.347297,0.7278633,-0.7230747,38,5.375,-0.875,0,0,0,0,0,0,1
14005,0,0,0,0,0,0,9.380817,0.3016802,-0.2394287,27.5,6.625,1.625,0,0,0,0,0,0,1
14018,0,0,0,0,0,0,9.419126,-0.1053486,0.191543,22.75,6.125,1.375,0,0,0,0,0,0,1
14030,0,0,0,0,0,0,9.376028,-0.1723887,-0.2106973,25.25,4.5,-0.25,0,0,0,0,0,0,1
14042,0,0,0,0,0,0,9.332932,0.07182861,-0.742229,25.5,4.75,-0.75,0,0,0,0,0,0,1
14055,0,0,0,0,0,0,9.33772,0.2873144,-0.6608232,24.5,5.875,-0.375,0,0,0,0,0,0,1
14068,0,0,0,0,0,0,9.352086,0.3304116,-0.4309717,25.125,6.875,0.375,0,0,0,0,0,0,1
14080,0,0,0,0,0,0,9.347297,0.1819658,-0.450126,25.5,7.25,0.625,0,0,0,0,0,0,1
14093,0,0,0,0,0,0,9.352086,0.03352002,-0.4070288,24.875,7.625,0.625,0,0,0,0,0,0,1
14105,0,0,0,0,0,0,9.356874,0.07661719,-0.3064688,24.375,7.875,0.375,0,0,0,0,0,0,1
14116,0,0,0,0,0,0,9.361663,0.2202744,-0.3256231,24.75,7.875,0.375,0,0,0,0,0,0,1
14129,0,0,0,0,0,0,9.366451,0.3016802,-0.4309717,25.5,8,0.75,0,0,0,0,0,0,1
14141,0,0,0,0,0,0,9.366451,0.2825259,-0.3830859,26,8.125,1.5,0,0,0,0,0,0,1
14153,0,0,0,0,0,0,9.380817,0.1771773,-0.2011201,26.125,8.125,2.25,0,0,0,0,0,0,1
14166,0,0,0,0,0,0,9.40476,0.04788574,0,25.75,7.25,2.125,0,0,0,0,0,0,1
14178,0,0,0,0,0,0,9.399971,-0.09098291,0.04788574,25.125,5.75,1.5,0,0,0,0,0,0,1
14191,0,0,0,0,0,0,9.390394,-0.1005601,-0.08140577,24.375,4.625,0.25,0,0,0,0,0,0,1
14203,0,0,0,0,0,0,9.395183,0.1149258,-0.1053486,23.75,3.5,-0.375,0,0,0,0,0,0,1
14216,0,0,0,0,0,0,9.399971,0.2777373,-0.1340801,24.375,3,0.125,0,0,0,0,0,0,1
14228,0,0,0,0,0,0,9.385606,0.3064688,-0.2490059,25.625,2.625,0.875,0,0,0,0,0,0,1
14241,0,0,0,0,0,0,9.380817,0.2633716,-0.258583,26.125,2.5,1.625,0,0,0,0,0,0,1
14253,0,0,0,0,0,0,9.390394,0.1532344,-0.1819658,26,2,2,0,0,0,0,0,0,1
14265,0,0,0,0,0,0,9.390394,0.07182861,-0.1340801,25.875,1.5,2.125,0,0,0,0,0,0,1
14279,0,0,0,0,0,0,9.399971,0.09098291,-0.07661719,25.625,1.125,2,0,0,0,0,0,0,1
14291,0,0,0,0,0,0,9.395183,0.1245029,-0.1388687,25.375,0.5,2,0,0,0,0,0,0,1
14303,0,0,0,0,0,0,9.390394,0.1197144,-0.1819658,24.25,-0.25,2.25,0,0,0,0,0,0,1
