timestamp,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,quatX,quatY,quatZ,quatW
14907,0,0,0,0,0,0,-1.446149,0.1101372,-9.184485,28.25,6.5,2.625,0,0,0,0,0,0,1
14923,0,0,0,0,0,0,-1.450938,-0.06225147,-9.246737,20,12.875,7.375,0,0,0,0,0,0,1
14937,0,0,0,0,0,0,-1.508401,-0.07661719,-9.428702,14.125,17.75,12.875,0,0,0,0,0,0,1
14952,0,0,0,0,0,0,-1.498824,-0.03352002,-9.60588,9.5,19.75,18.375,0,0,0,0,0,0,1
14964,0,0,0,0,0,0,-1.417418,0.1532344,-9.701652,5.875,19.75,22,0,0,0,0,0,0,1
14976,0,0,0,0,0,0,-1.326435,0.3112573,-9.701652,5.75,18.375,23.375,0,0,0,0,0,0,1
14989,0,0,0,0,0,0,-1.321646,0.3543545,-9.663342,10.5,16,22.125,0,0,0,0,0,0,1
15001,0,0,0,0,0,0,-1.331224,0.3495659,-9.711228,17.125,12.5,19,0,0,0,0,0,0,1
15013,0,0,0,0,0,0,-1.331224,0.3591431,-9.835732,19.375,8.25,15.375,0,0,0,0,0,0,1
15026,0,0,0,0,0,0,-1.345589,0.4405488,-9.912349,17.875,3.75,12,0,0,0,0,0,0,1
15039,0,0,0,0,0,0,-1.417418,0.4788574,-9.897983,16.875,0.125,8.375,0,0,0,0,0,0,1
15051,0,0,0,0,0,0,-1.426995,0.4261831,-9.816577,16.375,-2,4.125,0,0,0,0,0,0,1
15063,0,0,0,0,0,0,-1.465304,0.3591431,-9.711228,18.75,-2.875,0.875,0,0,0,0,0,0,1
15076,0,0,0,0,0,0,-1.54671,0.2825259,-9.668132,20.75,-2.625,-1,0,0,0,0,0,0,1
15088,0,0,0,0,0,0,-1.551498,0.2537944,-9.692075,21.25,-2.375,-1.625,0,0,0,0,0,0,1
15100,0,0,0,0,0,0,-1.522767,0.2681602,-9.73996,21.875,-3.125,-1.75,0,0,0,0,0,0,1
15113,0,0,0,0,0,0,-1.527555,0.3208345,-9.759114,22.125,-4.125,-2.5,0,0,0,0,0,0,1
15126,0,0,0,0,0,0,-1.551498,0.3447773,-9.749537,23.875,-5.125,-3.75,0,0,0,0,0,0,1
15138,0,0,0,0,0,0,-1.494035,0.3064688,-9.730383,24.5,-6.25,-4.875,0,0,0,0,0,0,1
15151,0,0,0,0,0,0,-1.489247,0.3112573,-9.663342,22.75,-6.875,-6.375,0,0,0,0,0,0,1
15163,0,0,0,0,0,0,-1.484458,0.3064688,-9.596303,23.25,-7.25,-8.875,0,0,0,0,0,0,1
15175,0,0,0,0,0,0,-1.474881,0.2681602,-9.581937,26.75,-8.125,-11.5,0,0,0,0,0,0,1
15188,0,0,0,0,0,0,-1.446149,0.2346401,-9.610668,30,-8.125,-13,0,0,0,0,0,0,1
15200,0,0,0,0,0,0,-1.498824,0.2202744,-9.625034,30,-7.75,-13.125,0,0,0,0,0,0,1
15213,0,0,0,0,0,0,-1.541921,0.2490059,-9.615458,28.875,-7.25,-13.125,0,0,0,0,0,0,1
15225,0,0,0,0,0,0,-1.489247,0.2729487,-9.610668,29.125,-6.625,-13.625,0,0,0,0,0,0,1
15237,0,0,0,0,0,0,-1.426995,0.2106973,-9.567572,29.5,-6.125,-13.75,0,0,0,0,0,0,1
15249,0,0,0,0,0,0,-1.369532,0.09577148,-9.495743,29.75,-6.25,-13.875,0,0,0,0,0,0,1
15262,0,0,0,0,0,0,-1.350378,0.02873145,-9.495743,31.25,-7.375,-13.875,0,0,0,0,0,0,1
15274,0,0,0,0,0,0,-1.407841,0.02873145,-9.534052,31.875,-8.375,-13.125,0,0,0,0,0,0,1
15286,0,0,0,0,0,0,-1.465304,0.02394287,-9.596303,28.875,-8.5,-11.25,0,0,0,0,0,0,1
15298,0,0,0,0,0,0,-1.551498,0.03830859,-9.644189,19.875,-7,-8.75,0,0,0,0,0,0,1
